activity_code,credential_attainment,measurable_skill_gains
300,1,1
301,0,1
302,1,1
304,0,1
305,1,1
306,1,1
307,1,1
320,1,1
322,0,1
323,1,1
324,1,1
325,1,1
328,1,1
330,1,1
333,1,1
342,1,1
346,1,1
347,1,1
348,0,1
349,0,1
350,1,1
351,1,1
352,1,1
354,1,1
415,1,1
416,1,1
418,1,1
421,1,1
429,1,1
430,1,1
432,1,1
437,1,1
438,1,1
